"ProductKey","SKU","Product","Standard Cost","Color","List Price","Model","Subcategory","Category"
"0302","FR-M94B-46","HL Mountain Frame - Black, 46","654","Black","1227","HL Mountain Frame","Mountain Frames","Components"
"0439","FR-R92B-44","HL Road Frame - Black, 44","722","Black","1301","HL Road Frame","Road Frames","Components"
"0441","FR-R92B-48","HL Road Frame - Black, 48","722","Black","1301","HL Road Frame","Road Frames","Components"
"0443","FR-R92B-52","HL Road Frame - Black, 52","722","Black","1301","HL Road Frame","Road Frames","Components"
"0437","FR-R92B-62","HL Road Frame - Black, 62","722","Black","1301","HL Road Frame","Road Frames","Components"
"0306","FR-M94B-38","HL Mountain Frame - Black, 38","739","Black","1350","HL Mountain Frame","Mountain Frames","Components"
"0298","FR-M94B-42","HL Mountain Frame - Black, 42","739","Black","1350","HL Mountain Frame","Mountain Frames","Components"
"0299","FR-M94B-44","HL Mountain Frame - Black, 44","699","Black","1350","HL Mountain Frame","Mountain Frames","Components"
"0303","FR-M94B-46","HL Mountain Frame - Black, 46","739","Black","1350","HL Mountain Frame","Mountain Frames","Components"
"0300","FR-M94B-48","HL Mountain Frame - Black, 48","699","Black","1350","HL Mountain Frame","Mountain Frames","Components"
"0440","FR-R92B-44","HL Road Frame - Black, 44","869","Black","1432","HL Road Frame","Road Frames","Components"
"0442","FR-R92B-48","HL Road Frame - Black, 48","869","Black","1432","HL Road Frame","Road Frames","Components"
"0444","FR-R92B-52","HL Road Frame - Black, 52","869","Black","1432","HL Road Frame","Road Frames","Components"
"0210","FR-R92B-58","HL Road Frame - Black, 58","869","Black","1432","HL Road Frame","Road Frames","Components"
"0438","FR-R92B-62","HL Road Frame - Black, 62","869","Black","1432","HL Road Frame","Road Frames","Components"
"0510","FR-T67U-44","LL Touring Frame - Blue, 44","200","Blue","333","LL Touring Frame","Touring Frames","Components"
"0502","FR-T67U-50","LL Touring Frame - Blue, 50","200","Blue","333","LL Touring Frame","Touring Frames","Components"
"0503","FR-T67U-54","LL Touring Frame - Blue, 54","200","Blue","333","LL Touring Frame","Touring Frames","Components"
"0504","FR-T67U-58","LL Touring Frame - Blue, 58","200","Blue","333","LL Touring Frame","Touring Frames","Components"
"0505","FR-T67U-62","LL Touring Frame - Blue, 62","200","Blue","333","LL Touring Frame","Touring Frames","Components"
"0497","FR-T98U-46","HL Touring Frame - Blue, 46","602","Blue","1004","HL Touring Frame","Touring Frames","Components"
"0498","FR-T98U-50","HL Touring Frame - Blue, 50","602","Blue","1004","HL Touring Frame","Touring Frames","Components"
"0499","FR-T98U-54","HL Touring Frame - Blue, 54","602","Blue","1004","HL Touring Frame","Touring Frames","Components"
"0500","FR-T98U-60","HL Touring Frame - Blue, 60","602","Blue","1004","HL Touring Frame","Touring Frames","Components"
"0515","SE-M236","LL Mountain Seat/Saddle","12","NA","27","LL Mountain Seat/Saddle 2","Saddles","Components"
"0518","SE-R581","LL Road Seat/Saddle","12","NA","27","LL Road Seat/Saddle 1","Saddles","Components"
"0521","SE-T312","LL Touring Seat/Saddle","12","NA","27","LL Touring Seat/Saddle","Saddles","Components"
"0394","HS-0296","LL Headset","15","NA","34","LL Headset","Headsets","Components"
"0516","SE-M798","ML Mountain Seat/Saddle","17","NA","39","ML Mountain Seat/Saddle 2","Saddles","Components"
"0519","SE-R908","ML Road Seat/Saddle","17","NA","39","ML Road Seat/Saddle 2","Saddles","Components"
"0522","SE-T762","ML Touring Seat/Saddle","17","NA","39","ML Touring Seat/Saddle","Saddles","Components"
"0397","HB-M243","LL Mountain Handlebars","18","NA","40","LL Mountain Handlebars","Handlebars","Components"
"0403","HB-R504","LL Road Handlebars","18","NA","40","LL Road Handlebars","Handlebars","Components"
"0398","HB-M243","LL Mountain Handlebars","20","NA","45","LL Mountain Handlebars","Handlebars","Components"
"0404","HB-R504","LL Road Handlebars","20","NA","45","LL Road Handlebars","Handlebars","Components"
"0553","HB-T721","LL Touring Handlebars","20","NA","46","LL Touring Handlebars","Handlebars","Components"
"0517","SE-M940","HL Mountain Seat/Saddle","23","NA","53","HL Mountain Seat/Saddle 2","Saddles","Components"
"0520","SE-R995","HL Road Seat/Saddle","23","NA","53","HL Road Seat/Saddle 2","Saddles","Components"
"0523","SE-T924","HL Touring Seat/Saddle","23","NA","53","HL Touring Seat/Saddle","Saddles","Components"
"0601","BB-7421","LL Bottom Bracket","24","NA","54","LL Bottom Bracket","Bottom Brackets","Components"
"0399","HB-M763","ML Mountain Handlebars","25","NA","56","ML Mountain Handlebars","Handlebars","Components"
"0405","HB-R720","ML Road Handlebars","25","NA","56","ML Road Handlebars","Handlebars","Components"
"0400","HB-M763","ML Mountain Handlebars","27","NA","62","ML Mountain Handlebars","Handlebars","Components"
"0406","HB-R720","ML Road Handlebars","27","NA","62","ML Road Handlebars","Handlebars","Components"
"0554","HB-T928","HL Touring Handlebars","41","NA","92","HL Touring Handlebars","Handlebars","Components"
"0602","BB-8107","ML Bottom Bracket","45","NA","101","ML Bottom Bracket","Bottom Brackets","Components"
"0395","HS-2451","ML Headset","45","NA","102","ML Headset","Headsets","Components"
"0401","HB-M918","HL Mountain Handlebars","49","NA","109","HL Mountain Handlebars","Handlebars","Components"
"0407","HB-R956","HL Road Handlebars","49","NA","109","HL Road Handlebars","Handlebars","Components"
"0402","HB-M918","HL Mountain Handlebars","53","NA","120","HL Mountain Handlebars","Handlebars","Components"
"0408","HB-R956","HL Road Handlebars","53","NA","120","HL Road Handlebars","Handlebars","Components"
"0603","BB-9108","HL Bottom Bracket","54","NA","121","HL Bottom Bracket","Bottom Brackets","Components"
"0396","HS-3479","HL Headset","55","NA","125","HL Headset","Headsets","Components"
"0391","FK-1639","LL Fork","66","NA","148","LL Fork","Forks","Components"
"0392","FK-5136","ML Fork","78","NA","175","ML Fork","Forks","Components"
"0393","FK-9939","HL Fork","102","NA","229","HL Fork","Forks","Components"
"0262","FR-R38R-44","LL Road Frame - Red, 44","181","Red","307","LL Road Frame","Road Frames","Components"
"0264","FR-R38R-48","LL Road Frame - Red, 48","181","Red","307","LL Road Frame","Road Frames","Components"
"0266","FR-R38R-52","LL Road Frame - Red, 52","181","Red","307","LL Road Frame","Road Frames","Components"
"0268","FR-R38R-58","LL Road Frame - Red, 58","181","Red","307","LL Road Frame","Road Frames","Components"
"0270","FR-R38R-60","LL Road Frame - Red, 60","181","Red","307","LL Road Frame","Road Frames","Components"
"0272","FR-R38R-62","LL Road Frame - Red, 62","181","Red","307","LL Road Frame","Road Frames","Components"
"0263","FR-R38R-44","LL Road Frame - Red, 44","187","Red","337","LL Road Frame","Road Frames","Components"
"0265","FR-R38R-48","LL Road Frame - Red, 48","187","Red","337","LL Road Frame","Road Frames","Components"
"0267","FR-R38R-52","LL Road Frame - Red, 52","187","Red","337","LL Road Frame","Road Frames","Components"
"0269","FR-R38R-58","LL Road Frame - Red, 58","187","Red","337","LL Road Frame","Road Frames","Components"
"0271","FR-R38R-60","LL Road Frame - Red, 60","187","Red","337","LL Road Frame","Road Frames","Components"
"0273","FR-R38R-62","LL Road Frame - Red, 62","187","Red","337","LL Road Frame","Road Frames","Components"
"0274","FR-R72R-44","ML Road Frame - Red, 44","352","Red","595","ML Road Frame","Road Frames","Components"
"0275","FR-R72R-48","ML Road Frame - Red, 48","352","Red","595","ML Road Frame","Road Frames","Components"
"0276","FR-R72R-52","ML Road Frame - Red, 52","352","Red","595","ML Road Frame","Road Frames","Components"
"0277","FR-R72R-58","ML Road Frame - Red, 58","352","Red","595","ML Road Frame","Road Frames","Components"
"0278","FR-R72R-60","ML Road Frame - Red, 60","352","Red","595","ML Road Frame","Road Frames","Components"
"0241","FR-R92R-44","HL Road Frame - Red, 44","748","Red","1263","HL Road Frame","Road Frames","Components"
"0244","FR-R92R-48","HL Road Frame - Red, 48","748","Red","1263","HL Road Frame","Road Frames","Components"
"0247","FR-R92R-52","HL Road Frame - Red, 52","748","Red","1263","HL Road Frame","Road Frames","Components"
"0250","FR-R92R-56","HL Road Frame - Red, 56","748","Red","1263","HL Road Frame","Road Frames","Components"
"0238","FR-R92R-62","HL Road Frame - Red, 62","748","Red","1263","HL Road Frame","Road Frames","Components"
"0242","FR-R92R-44","HL Road Frame - Red, 44","722","Red","1301","HL Road Frame","Road Frames","Components"
"0245","FR-R92R-48","HL Road Frame - Red, 48","722","Red","1301","HL Road Frame","Road Frames","Components"
"0248","FR-R92R-52","HL Road Frame - Red, 52","722","Red","1301","HL Road Frame","Road Frames","Components"
"0251","FR-R92R-56","HL Road Frame - Red, 56","722","Red","1301","HL Road Frame","Road Frames","Components"
"0239","FR-R92R-62","HL Road Frame - Red, 62","722","Red","1301","HL Road Frame","Road Frames","Components"
"0243","FR-R92R-44","HL Road Frame - Red, 44","869","Red","1432","HL Road Frame","Road Frames","Components"
"0246","FR-R92R-48","HL Road Frame - Red, 48","869","Red","1432","HL Road Frame","Road Frames","Components"
"0249","FR-R92R-52","HL Road Frame - Red, 52","869","Red","1432","HL Road Frame","Road Frames","Components"
"0252","FR-R92R-56","HL Road Frame - Red, 56","869","Red","1432","HL Road Frame","Road Frames","Components"
"0211","FR-R92R-58","HL Road Frame - Red, 58","869","Red","1432","HL Road Frame","Road Frames","Components"
"0240","FR-R92R-62","HL Road Frame - Red, 62","869","Red","1432","HL Road Frame","Road Frames","Components"
"0559","CH-0234","Chain","09","Silver","20","Chain","Chains","Components"
"0552","FD-2342","Front Derailleur","41","Silver","91","Front Derailleur","Derailleurs","Components"
"0555","FB-9873","Front Brakes","47","Silver","106","Front Brakes","Brakes","Components"
"0514","RB-9231","Rear Brakes","47","Silver","106","Rear Brakes","Brakes","Components"
"0501","RD-2308","Rear Derailleur","54","Silver","121","Rear Derailleur","Derailleurs","Components"
"0551","FR-M21S-40","LL Mountain Frame - Silver, 40","145","Silver","264","LL Mountain Frame","Mountain Frames","Components"
"0524","FR-M21S-42","LL Mountain Frame - Silver, 42","145","Silver","264","LL Mountain Frame","Mountain Frames","Components"
"0525","FR-M21S-44","LL Mountain Frame - Silver, 44","145","Silver","264","LL Mountain Frame","Mountain Frames","Components"
"0526","FR-M21S-48","LL Mountain Frame - Silver, 48","145","Silver","264","LL Mountain Frame","Mountain Frames","Components"
"0527","FR-M21S-52","LL Mountain Frame - Silver, 52","145","Silver","264","LL Mountain Frame","Mountain Frames","Components"
"0549","FR-M63S-38","ML Mountain Frame-W - Silver, 38","199","Silver","364","ML Mountain Frame-W","Mountain Frames","Components"
"0511","FR-M63S-40","ML Mountain Frame-W - Silver, 40","199","Silver","364","ML Mountain Frame-W","Mountain Frames","Components"
"0512","FR-M63S-42","ML Mountain Frame-W - Silver, 42","199","Silver","364","ML Mountain Frame-W","Mountain Frames","Components"
"0513","FR-M63S-46","ML Mountain Frame-W - Silver, 46","199","Silver","364","ML Mountain Frame-W","Mountain Frames","Components"
"0307","FR-M94S-38","HL Mountain Frame - Silver, 38","624","Silver","1204","HL Mountain Frame","Mountain Frames","Components"
"0288","FR-M94S-42","HL Mountain Frame - Silver, 42","624","Silver","1204","HL Mountain Frame","Mountain Frames","Components"
"0293","FR-M94S-46","HL Mountain Frame - Silver, 46","624","Silver","1204","HL Mountain Frame","Mountain Frames","Components"
"0308","FR-M94S-38","HL Mountain Frame - Silver, 38","661","Silver","1240","HL Mountain Frame","Mountain Frames","Components"
"0289","FR-M94S-42","HL Mountain Frame - Silver, 42","661","Silver","1240","HL Mountain Frame","Mountain Frames","Components"
"0294","FR-M94S-46","HL Mountain Frame - Silver, 46","661","Silver","1240","HL Mountain Frame","Mountain Frames","Components"
"0309","FR-M94S-38","HL Mountain Frame - Silver, 38","747","Silver","1364","HL Mountain Frame","Mountain Frames","Components"
"0290","FR-M94S-42","HL Mountain Frame - Silver, 42","747","Silver","1364","HL Mountain Frame","Mountain Frames","Components"
"0291","FR-M94S-44","HL Mountain Frame - Silver, 44","707","Silver","1364","HL Mountain Frame","Mountain Frames","Components"
"0295","FR-M94S-46","HL Mountain Frame - Silver, 46","747","Silver","1364","HL Mountain Frame","Mountain Frames","Components"
"0292","FR-M94S-52","HL Mountain Frame - Silver, 48","707","Silver","1364","HL Mountain Frame","Mountain Frames","Components"
"0542","PD-M282","LL Mountain Pedal","18","Silver/Black","40","LL Mountain Pedal","Pedals","Components"
"0545","PD-R347","LL Road Pedal","18","Silver/Black","40","LL Road Pedal","Pedals","Components"
"0543","PD-M340","ML Mountain Pedal","28","Silver/Black","62","ML Mountain Pedal","Pedals","Components"
"0546","PD-R563","ML Road Pedal","28","Silver/Black","62","ML Road Pedal","Pedals","Components"
"0544","PD-M562","HL Mountain Pedal","36","Silver/Black","81","HL Mountain Pedal","Pedals","Components"
"0547","PD-R853","HL Road Pedal","36","Silver/Black","81","HL Road Pedal","Pedals","Components"
"0548","PD-T852","Touring Pedal","36","Silver/Black","81","Touring Pedal","Pedals","Components"
"0506","FR-T67Y-44","LL Touring Frame - Yellow, 44","200","Yellow","333","LL Touring Frame","Touring Frames","Components"
"0507","FR-T67Y-50","LL Touring Frame - Yellow, 50","200","Yellow","333","LL Touring Frame","Touring Frames","Components"
"0508","FR-T67Y-54","LL Touring Frame - Yellow, 54","200","Yellow","333","LL Touring Frame","Touring Frames","Components"
"0509","FR-T67Y-58","LL Touring Frame - Yellow, 58","200","Yellow","333","LL Touring Frame","Touring Frames","Components"
"0493","FR-T67Y-62","LL Touring Frame - Yellow, 62","200","Yellow","333","LL Touring Frame","Touring Frames","Components"
"0417","FR-R72Y-38","ML Road Frame-W - Yellow, 38","300","Yellow","541","ML Road Frame-W","Road Frames","Components"
"0429","FR-R72Y-40","ML Road Frame-W - Yellow, 40","300","Yellow","541","ML Road Frame-W","Road Frames","Components"
"0431","FR-R72Y-42","ML Road Frame-W - Yellow, 42","300","Yellow","541","ML Road Frame-W","Road Frames","Components"
"0433","FR-R72Y-44","ML Road Frame-W - Yellow, 44","300","Yellow","541","ML Road Frame-W","Road Frames","Components"
"0435","FR-R72Y-48","ML Road Frame-W - Yellow, 48","300","Yellow","541","ML Road Frame-W","Road Frames","Components"
"0418","FR-R72Y-38","ML Road Frame-W - Yellow, 38","361","Yellow","595","ML Road Frame-W","Road Frames","Components"
"0430","FR-R72Y-40","ML Road Frame-W - Yellow, 40","361","Yellow","595","ML Road Frame-W","Road Frames","Components"
"0432","FR-R72Y-42","ML Road Frame-W - Yellow, 42","361","Yellow","595","ML Road Frame-W","Road Frames","Components"
"0434","FR-R72Y-44","ML Road Frame-W - Yellow, 44","361","Yellow","595","ML Road Frame-W","Road Frames","Components"
"0436","FR-R72Y-48","ML Road Frame-W - Yellow, 48","361","Yellow","595","ML Road Frame-W","Road Frames","Components"
"0494","FR-T98Y-46","HL Touring Frame - Yellow, 46","602","Yellow","1004","HL Touring Frame","Touring Frames","Components"
"0495","FR-T98Y-50","HL Touring Frame - Yellow, 50","602","Yellow","1004","HL Touring Frame","Touring Frames","Components"
"0496","FR-T98Y-54","HL Touring Frame - Yellow, 54","602","Yellow","1004","HL Touring Frame","Touring Frames","Components"
"0492","FR-T98Y-60","HL Touring Frame - Yellow, 60","602","Yellow","1004","HL Touring Frame","Touring Frames","Components"
